,name,type,rating,review_count,price,address,label,dine_in,takeaway,delivery,drive_through,no_del_exp,curb_pickup,postal_code,municipality,neighborhood
376,Cucina Avenida Liberdade,italian,3.8,32.0,1,"Av. da Liberdade 180 D Loja 14, 1250-142 Lisboa, Portugal","['dine-in', 'curbside pickup', 'delivery']",1,0,1,0,0,1,1250-142,Lisboa,Coração de Jesus
377,Rubro Avenida,european,4.3,722.0,2,"R. Rodrigues Sampaio 33 35, 1150-278 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1150-278,Lisboa,Coração de Jesus
378,Guilty,veggie_healthy,4.0,1865.0,3,"R. Barata Salgueiro 28 A, 1250-044 Lisboa, Portugal","['dine-in', 'drive-through', 'delivery']",1,0,1,1,0,0,1250-044,Lisboa,Coração de Jesus
379,Topo Chiado,bar,4.2,1602.0,2,"Terraços do Carmo, Largo do Carmo, 1200-288 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-288,Lisboa,Mártires
380,Block House Amoreiras,grill,4.3,503.0,1,"Av. Eng. Duarte Pacheco 1049 2044, 1070-103 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1070-103,Lisboa,Campolide
381,Curva,brunch,4.7,155.0,2,"R. Damasceno Monteiro 108D, 1170-113 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1170-113,Lisboa,Anjos
382,Tomato Garden Italian Restaurant,pasta,4.7,195.0,1,"R. da Barroca 109, 1200-010 Lisboa, Portugal",['nan'],0,0,0,0,0,0,1200-010,Lisboa,Encarnação
383,Azia Asian Restaurant,asian,4.5,291.0,2,"Rua de S. Paulo 136, 1200-429 Lisboa, Portugal",['dine-in'],1,0,0,0,0,0,1200-429,Lisboa,São Paulo
384,Marisqueira M,seafood,4.1,463.0,2,"R. do Norte 100, 1200-287 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-287,Lisboa,Encarnação
385,Restaurante Irriverente,pasta,4.1,149.0,1,"Rua da Boavista 88, 1200-058 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1200-058,Lisboa,São Paulo
386,Restaurante Marco,portuguese,4.4,2582.0,2,"Largo Santos 14D, 1200-808 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1200-808,Lisboa,Santos-o-Velho
387,Noori Sushi,japanese,4.2,172.0,1,"R. do Crucifixo 87, 1100-044 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1100-044,Lisboa,São Nicolau
388,Leads Pizza,pizza,4.5,184.0,1,"R. Gen. Justiniano Padrel 17A, 1170-153 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1170-153,Lisboa,Santa Engrácia
389,Portugália,fast_food,4.8,6.0,2,"R. do Carmo 120, 1100-044 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1100-044,Lisboa,São Nicolau
390,Santa Marta Marisqueira,seafood,4.0,455.0,2,"Travessa do Enviado de Inglaterra, 1150-281 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1150-281,Lisboa,Coração de Jesus
391,Jamie's Italian Lisboa,italian,4.2,3173.0,2,"Praça do Príncipe Real 28A, 1250-184 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1250-184,Lisboa,Mercês
392,Turkish Kebab House,africa_me,3.6,394.0,1,"Av. Alm. Reis 40A, 1150-019 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1150-019,Lisboa,Alto do Pina
393,Panda Cantina,japanese,4.6,939.0,1,"Rua da Prata 252, 1100-052 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-052,Lisboa,São Nicolau
394,Manteigaria - Fábrica de Pastéis de Nata,pastry,4.8,5420.0,1,"Rua do Loreto 2, 1200-108 Lisboa","['takeaway', 'delivery', 'no dine-in']",1,1,1,0,0,0,1200-108,Lisboa,Encarnação
395,Confeitaria Nacional,pastry,4.2,3289.0,2,"Praça da Figueira 18B, 1100-241 Lisboa","['dine-in', 'curbside pickup', 'delivery']",1,0,1,0,0,1,1100-241,Lisboa,Santa Justa
396,Pastelaria Santo António (castelo São Jorge),pastry,4.7,987.0,1,"R. do Milagre de Santo António N.10, 1100-351 Lisboa","['dine-in', 'takeaway']",1,1,0,0,0,0,1100-351,Lisboa,Santiago
397,Alcôa,pastry,4.4,885.0,2,"R. Garrett 37, 1200-203 Lisboa, Portugal",['takeaway'],0,1,0,0,0,0,1200-203,Lisboa,Mártires
398,Fábrica da Nata (Rua Augusta),pastry,4.6,1808.0,1,"R. Augusta nº 275 A, 1100-052 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1100-052,Lisboa,São Nicolau
399,Ferrary,pastry,2.8,549.0,1,"R. Augusta 189, 1100-050 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-050,Lisboa,São Nicolau
400,Confeitaria Marquês de Pombal,pastry,4.2,1148.0,2,"Av. da Liberdade 244 B, 1250-149 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1250-149,Lisboa,Coração de Jesus
401,Pastelaria 1800,pastry,4.3,450.0,1,"Largo do Rato 7, 1250-096 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1250-096,Lisboa,Santa Isabel
402,Pastelaria Flor do Mundo,pastry,4.3,367.0,1,"R. da Misericórdia 87, 1200-284 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-284,Lisboa,Encarnação
