type_of_food,neighborhood,price,outputs
africa_me,Alto do Pina,1,1.0
pastry,Alto do Pina,2,1.0
asian,Alto do Pina,3,1.0
burger,Alto do Pina,1,1.0
asian,Alto do Pina,1,1.0
asian,Alto do Pina,2,1.0
italian,Alto do Pina,2,1.0
pizza,Alto do Pina,1,1.0
portuguese,Alto do Pina,1,1.0
italian,Mártires,1,1.0
seafood,Alto do Pina,3,1.0
chicken,Alto do Pina,3,1.0
brunch,Santa Justa,2,1.0
bar,Alto do Pina,3,1.0
seafood,Alto do Pina,2,1.0
seafood,Alto do Pina,1,1.0
fado,São Miguel,3,1.0
south_america,Alto do Pina,3,1.0
european,Mártires,1,1.0
veggie_healthy,Alto do Pina,1,1.0
veggie_healthy,Alto do Pina,3,1.0
fast_food,Mártires,1,1.0
grill,Alto do Pina,2,1.0
grill,Alto do Pina,1,1.0
grill,Alto do Pina,3,1.0
veggie_healthy,Santa Justa,3,1.0
bistro,Santa Justa,2,1.0
bistro,Santa Justa,3,1.0
grill,Santa Justa,2,1.0
cafe,Santiago,2,1.0
portuguese,Santo Estevão,3,1.0
portuguese,Santo Estevão,4,1.0
fado,Socorro,3,1.0
indian_nepalese,Santo Estevão,3,1.0
fado,Santa Justa,3,1.0
indian_nepalese,Santo Estevão,4,1.0
fado,Santa Justa,2,1.0
indian_nepalese,São Miguel,3,1.0
fast_food,Santa Justa,2,1.0
pastry,Santa Justa,3,1.0
bar,Santa Catarina,4,1.0
portuguese,São Miguel,3,1.0
portuguese,São Cristóvão,3,1.0
pastry,Santa Justa,2,1.0
cafe,Santiago,4,1.0
cafe,Santiago,3,1.0
mediterranean,Santiago,4,1.0
seafood,Santiago,2,1.0
pasta,Santo Estevão,4,1.0
south_america,Santiago,3,1.0
south_america,São Miguel,3,1.0
seafood,Santiago,3,1.0
seafood,Santiago,4,1.0
italian,São Nicolau,1,1.0
veggie_healthy,São Miguel,4,1.0
mediterranean,Santiago,3,1.0
bar,Santiago,4,1.0
portuguese,Encarnação,3,1.0
pizza,Santo Estevão,3,1.0
pizza,Santo Estevão,4,1.0
pasta,São Cristóvão,3,1.0
european,Santiago,3,1.0
asian,Santa Justa,3,1.0
portuguese,São Cristóvão,4,1.0
asian,Santa Justa,1,1.0
bar,Santo Estevão,4,1.0
portuguese,Santa Catarina,4,1.0
seafood,Santo Estevão,3,1.0
seafood,Santo Estevão,4,1.0
south_america,São Cristóvão,3,1.0
portuguese,Santa Justa,3,1.0
bar,Santo Estevão,3,1.0
portuguese,Santa Justa,2,1.0
pasta,Santa Justa,1,1.0
indian_nepalese,Santa Justa,3,1.0
seafood,São Cristóvão,3,1.0
indian_nepalese,Santa Justa,2,1.0
grill,Santa Justa,3,1.0
seafood,São Cristóvão,4,1.0
chicken,Santo Estevão,4,1.0
pasta,Santa Justa,2,1.0
south_america,Santo Estevão,3,1.0
asian,Santa Justa,2,1.0
africa_me,Santa Justa,3,1.0
italian,Santa Justa,3,1.0
indian_nepalese,São Cristóvão,3,1.0
italian,Santa Justa,2,1.0
burger,Santa Justa,3,1.0
fado,São Nicolau,1,1.0
burger,Santa Justa,2,1.0
veggie_healthy,Santo Estevão,3,1.0
pasta,Santa Justa,3,1.0
veggie_healthy,Santo Estevão,4,1.0
africa_me,Santa Justa,2,1.0
mexican,Santa Justa,3,1.0
grill,São Cristóvão,3,1.0
pasta,São Miguel,3,1.0
mexican,Santa Justa,2,1.0
european,São Nicolau,1,1.0
mexican,Pena,2,1.0
fast_food,Pena,2,1.0
grill,Almargem do Bispo,3,1.0
seafood,Coração de Jesus,2,1.0
mexican,Santa Isabel,3,1.0
seafood,Coração de Jesus,3,1.0
seafood,Sé,3,1.0
south_america,Socorro,3,1.0
mexican,Santa Isabel,2,1.0
pasta,Santa Isabel,3,1.0
bistro,Coração de Jesus,2,1.0
bistro,Coração de Jesus,3,1.0
grill,Coração de Jesus,2,1.0
grill,Coração de Jesus,3,1.0
portuguese,Coração de Jesus,2,1.0
pasta,Santa Isabel,2,1.0
japanese,São Sebastião da Pedreira,4,1.0
japanese,Santa Isabel,2,1.0
bar,Coração de Jesus,3,1.0
africa_me,Santa Isabel,2,1.0
seafood,Sé,4,1.0
fado,Graça,1,1.0
pastry,Graça,3,1.0
fast_food,Graça,2,1.0
fast_food,Graça,1,1.0
italian,Mercês,1,1.0
fast_food,Graça,3,1.0
fado,Graça,2,1.0
fado,Graça,3,1.0
european,Coração de Jesus,3,1.0
seafood,Socorro,4,1.0
seafood,Socorro,3,1.0
cafe,Coração de Jesus,2,1.0
cafe,Coração de Jesus,3,1.0
africa_me,Santa Isabel,3,1.0
european,Coração de Jesus,2,1.0
japanese,Coração de Jesus,3,1.0
pizza,Santa Isabel,3,1.0
pizza,São Sebastião da Pedreira,4,1.0
pasta,Almargem do Bispo,2,1.0
italian,Almargem do Bispo,2,1.0
pastry,Coração de Jesus,3,1.0
mexican,Almargem do Bispo,3,1.0
mexican,Almargem do Bispo,2,1.0
indian_nepalese,Santa Isabel,2,1.0
pasta,Almargem do Bispo,1,1.0
japanese,Almargem do Bispo,1,1.0
italian,Almargem do Bispo,3,1.0
fast_food,Coração de Jesus,3,1.0
pasta,Sé,1,1.0
portuguese,Almargem do Bispo,3,1.0
portuguese,Almargem do Bispo,4,1.0
portuguese,Almargem do Bispo,1,1.0
portuguese,Almargem do Bispo,2,1.0
italian,Almargem do Bispo,1,1.0
pastry,Coração de Jesus,2,1.0
portuguese,Sé,2,1.0
portuguese,Santa Isabel,2,1.0
pizza,Santa Isabel,2,1.0
portuguese,Santa Isabel,3,1.0
portuguese,Sé,4,1.0
burger,Coração de Jesus,2,1.0
fast_food,Pena,1,1.0
italian,Coração de Jesus,2,1.0
italian,Coração de Jesus,3,1.0
asian,Almargem do Bispo,3,1.0
fado,Almargem do Bispo,3,1.0
fado,Almargem do Bispo,1,1.0
fado,Almargem do Bispo,2,1.0
indian_nepalese,Santa Isabel,3,1.0
fast_food,Almargem do Bispo,1,1.0
pastry,Almargem do Bispo,3,1.0
pastry,Graça,4,1.0
pastry,Graça,1,1.0
pastry,Graça,2,1.0
veggie_healthy,Graça,2,1.0
seafood,Graça,1,1.0
seafood,Graça,4,1.0
seafood,Graça,3,1.0
south_america,Graça,2,1.0
south_america,Graça,1,1.0
south_america,Graça,3,1.0
fado,Santa Isabel,2,1.0
bar,Graça,3,1.0
veggie_healthy,Graça,4,1.0
veggie_healthy,Graça,3,1.0
bistro,Graça,2,1.0
bistro,Graça,1,1.0
seafood,São Vicente de Fora,4,1.0
bistro,Graça,3,1.0
seafood,Graça,2,1.0
bar,Graça,4,1.0
grill,Graça,1,1.0
mediterranean,Graça,4,1.0
cafe,Graça,2,1.0
mediterranean,Socorro,3,1.0
cafe,Graça,4,1.0
cafe,Graça,3,1.0
mediterranean,Graça,2,1.0
mediterranean,Graça,1,1.0
mediterranean,Graça,3,1.0
bar,Graça,1,1.0
european,Graça,1,1.0
fado,Santa Isabel,3,1.0
chicken,Graça,2,1.0
chicken,Graça,1,1.0
chicken,Graça,3,1.0
bar,Graça,2,1.0
grill,Graça,2,1.0
fast_food,Santa Isabel,3,1.0
asian,Graça,3,1.0
africa_me,Graça,3,1.0
mexican,Graça,1,1.0
pastry,Santa Isabel,2,1.0
mexican,Graça,3,1.0
africa_me,Graça,2,1.0
africa_me,Graça,1,1.0
asian,Santa Isabel,3,1.0
burger,Graça,2,1.0
pasta,Graça,3,1.0
burger,Graça,1,1.0
burger,Graça,3,1.0
asian,Santa Isabel,2,1.0
italian,Graça,3,1.0
asian,Graça,2,1.0
bar,Socorro,3,1.0
mexican,Graça,2,1.0
pizza,Santa Maria dos Olivais,4,1.0
grill,Graça,3,1.0
pizza,Graça,2,1.0
indian_nepalese,Graça,2,1.0
indian_nepalese,Graça,3,1.0
portuguese,Graça,2,1.0
portuguese,Graça,1,1.0
mediterranean,Mercês,1,1.0
portuguese,Graça,3,1.0
pizza,Graça,1,1.0
chicken,Socorro,3,1.0
pizza,Graça,4,1.0
pizza,Graça,3,1.0
japanese,Graça,2,1.0
fast_food,Santa Isabel,2,1.0
pastry,Santa Isabel,3,1.0
japanese,Graça,3,1.0
indian_nepalese,Almargem do Bispo,3,1.0
italian,Alto do Pina,3,1.0
mexican,São José,2,1.0
chicken,Santa Isabel,2,1.0
fado,São José,3,1.0
grill,Santa Engrácia,4,1.0
pasta,São José,3,1.0
seafood,Santa Isabel,2,1.0
pasta,São José,2,1.0
european,Santa Isabel,3,1.0
japanese,São José,2,1.0
pizza,São José,3,1.0
fado,Sé,2,1.0
asian,Santa Engrácia,3,1.0
cafe,São Nicolau,1,1.0
pizza,São José,2,1.0
portuguese,São José,3,1.0
seafood,Santa Isabel,3,1.0
portuguese,São José,2,1.0
