type_of_food,neighborhood,price,outputs
cafe,São Miguel,2,0.8
cafe,São Miguel,3,0.8
pasta,São Miguel,4,0.8
mediterranean,São Miguel,2,0.8
pasta,São Miguel,1,0.8
pasta,São Miguel,2,0.8
japanese,São Miguel,3,0.8
pizza,São Miguel,3,0.8
pizza,São Miguel,4,0.8
pizza,São Miguel,2,0.8
portuguese,São Miguel,4,0.8
portuguese,São Miguel,2,0.8
indian_nepalese,São Miguel,4,0.8
indian_nepalese,São Miguel,2,0.8
grill,São Miguel,3,0.8
grill,São Miguel,4,0.8
grill,São Miguel,2,0.8
veggie_healthy,São Miguel,3,0.8
veggie_healthy,São Miguel,2,0.8
south_america,São Miguel,4,0.8
south_america,São Miguel,2,0.8
bar,São Miguel,4,0.8
chicken,São Miguel,3,0.8
chicken,São Miguel,4,0.8
chicken,São Miguel,2,0.8
european,São Miguel,2,0.8
mediterranean,São Miguel,3,0.8
burger,São Mamede,3,0.8
mediterranean,Campolide,4,0.8
italian,São Mamede,2,0.8
africa_me,Castelo,2,0.8
fado,Castelo,4,0.8
fado,Castelo,1,0.8
fado,Castelo,2,0.8
fast_food,Castelo,3,0.8
fast_food,Castelo,4,0.8
fast_food,Castelo,2,0.8
pastry,Castelo,4,0.8
asian,Castelo,4,0.8
asian,Castelo,2,0.8
italian,Castelo,4,0.8
burger,Castelo,3,0.8
burger,Castelo,4,0.8
burger,Castelo,2,0.8
africa_me,Castelo,4,0.8
mexican,Castelo,4,0.8
veggie_healthy,Castelo,2,0.8
mexican,Castelo,1,0.8
mexican,Castelo,2,0.8
pasta,Castelo,4,0.8
pasta,Castelo,1,0.8
japanese,Castelo,4,0.8
japanese,Castelo,2,0.8
pizza,Castelo,3,0.8
pizza,Castelo,4,0.8
pizza,Castelo,2,0.8
portuguese,Castelo,1,0.8
indian_nepalese,Castelo,2,0.8
grill,Castelo,4,0.8
bistro,Castelo,3,0.8
bistro,Castelo,4,0.8
cafe,Alvalade,2,0.8
cafe,Alvalade,1,0.8
cafe,Alvalade,3,0.8
portuguese,Alvalade,1,0.8
pastry,São Domingos de Benfica,2,0.8
italian,São Domingos de Benfica,3,0.8
italian,São Domingos de Benfica,1,0.8
italian,São Domingos de Benfica,2,0.8
burger,São Domingos de Benfica,3,0.8
burger,São Domingos de Benfica,1,0.8
burger,São Domingos de Benfica,2,0.8
japanese,São Domingos de Benfica,2,0.8
pizza,São Domingos de Benfica,3,0.8
pizza,São Domingos de Benfica,2,0.8
veggie_healthy,São Domingos de Benfica,3,0.8
veggie_healthy,São Domingos de Benfica,2,0.8
seafood,São Domingos de Benfica,3,0.8
seafood,São Domingos de Benfica,2,0.8
european,São Domingos de Benfica,3,0.8
european,São Domingos de Benfica,2,0.8
brunch,São Domingos de Benfica,1,0.8
brunch,São Domingos de Benfica,2,0.8
fast_food,Alvalade,3,0.8
fast_food,Alvalade,4,0.8
fast_food,Alvalade,1,0.8
fast_food,Alvalade,2,0.8
pastry,Alvalade,1,0.8
asian,Alvalade,1,0.8
italian,Alvalade,1,0.8
japanese,Alvalade,1,0.8
pizza,Alvalade,3,0.8
pizza,Alvalade,1,0.8
pizza,Alvalade,2,0.8
veggie_healthy,Castelo,3,0.8
south_america,Castelo,4,0.8
burger,Santiago,4,0.8
mediterranean,Santo Condestável,2,0.8
bistro,Santo Condestável,2,0.8
veggie_healthy,Santo Condestável,3,0.8
veggie_healthy,Santo Condestável,2,0.8
south_america,Santo Condestável,3,0.8
south_america,Santo Condestável,2,0.8
seafood,Santo Condestável,3,0.8
seafood,Santo Condestável,2,0.8
bar,Santo Condestável,3,0.8
bar,Santo Condestável,2,0.8
chicken,Santo Condestável,3,0.8
chicken,Santo Condestável,2,0.8
european,Santo Condestável,3,0.8
european,Santo Condestável,2,0.8
mediterranean,Santo Condestável,3,0.8
cafe,Santo Condestável,3,0.8
south_america,Castelo,2,0.8
cafe,Santo Condestável,2,0.8
brunch,Santo Condestável,3,0.8
brunch,Santo Condestável,4,0.8
brunch,Santo Condestável,2,0.8
fado,Santiago,4,0.8
fado,Santiago,2,0.8
fast_food,Santiago,3,0.8
fast_food,Santiago,4,0.8
fast_food,Santiago,2,0.8
pastry,Santiago,4,0.8
pastry,Santiago,2,0.8
asian,Santiago,4,0.8
asian,Santiago,2,0.8
italian,Santiago,4,0.8
bistro,Santo Condestável,3,0.8
grill,Santo Condestável,2,0.8
grill,Santo Condestável,4,0.8
grill,Santo Condestável,3,0.8
seafood,Castelo,1,0.8
bar,Castelo,3,0.8
bar,Castelo,1,0.8
chicken,Castelo,3,0.8
chicken,Castelo,4,0.8
chicken,Castelo,1,0.8
brunch,Castelo,4,0.8
fado,Santo Condestável,3,0.8
fado,Santo Condestável,2,0.8
fast_food,Santo Condestável,3,0.8
fast_food,Santo Condestável,2,0.8
pastry,Santo Condestável,3,0.8
pastry,Santo Condestável,2,0.8
asian,Santo Condestável,3,0.8
asian,Santo Condestável,2,0.8
italian,Santo Condestável,3,0.8
italian,Santo Condestável,2,0.8
africa_me,Santo Condestável,3,0.8
africa_me,Santo Condestável,2,0.8
mexican,Santo Condestável,3,0.8
mexican,Santo Condestável,2,0.8
pasta,Santo Condestável,3,0.8
pasta,Santo Condestável,2,0.8
pizza,Santo Condestável,3,0.8
pizza,Santo Condestável,2,0.8
portuguese,Santo Condestável,3,0.8
portuguese,Santo Condestável,2,0.8
indian_nepalese,Santo Condestável,3,0.8
indian_nepalese,Santo Condestável,2,0.8
pastry,São Domingos de Benfica,3,0.8
fast_food,São Domingos de Benfica,2,0.8
fast_food,São Domingos de Benfica,3,0.8
fast_food,São Sebastião da Pedreira,3,0.8
seafood,Santa Maria dos Olivais,3,0.8
seafood,Santa Maria dos Olivais,4,0.8
bar,Santa Maria dos Olivais,3,0.8
bar,Santa Maria dos Olivais,4,0.8
chicken,Santa Maria dos Olivais,3,0.8
chicken,Santa Maria dos Olivais,4,0.8
european,Santa Maria dos Olivais,3,0.8
european,Santa Maria dos Olivais,4,0.8
mediterranean,Santa Maria dos Olivais,3,0.8
mediterranean,Santa Maria dos Olivais,4,0.8
cafe,Santa Maria dos Olivais,3,0.8
cafe,Santa Maria dos Olivais,4,0.8
brunch,Santa Maria dos Olivais,3,0.8
brunch,Santa Maria dos Olivais,4,0.8
fast_food,São Sebastião da Pedreira,4,0.8
cafe,Nossa Senhora de Fátima,2,0.8
fast_food,São Sebastião da Pedreira,1,0.8
fast_food,São Sebastião da Pedreira,2,0.8
pastry,São Sebastião da Pedreira,4,0.8
pastry,São Sebastião da Pedreira,1,0.8
pastry,São Sebastião da Pedreira,2,0.8
italian,São Sebastião da Pedreira,4,0.8
italian,São Sebastião da Pedreira,1,0.8
italian,São Sebastião da Pedreira,2,0.8
burger,São Sebastião da Pedreira,4,0.8
japanese,São Sebastião da Pedreira,3,0.8
japanese,São Sebastião da Pedreira,1,0.8
japanese,São Sebastião da Pedreira,2,0.8
pizza,São Sebastião da Pedreira,3,0.8
pizza,São Sebastião da Pedreira,2,0.8
south_america,Santa Maria dos Olivais,4,0.8
south_america,Santa Maria dos Olivais,3,0.8
veggie_healthy,Santa Maria dos Olivais,4,0.8
veggie_healthy,Santa Maria dos Olivais,3,0.8
fado,Santa Maria dos Olivais,4,0.8
fast_food,Santa Maria dos Olivais,3,0.8
fast_food,Santa Maria dos Olivais,4,0.8
pastry,Santa Maria dos Olivais,3,0.8
pastry,Santa Maria dos Olivais,4,0.8
asian,Santa Maria dos Olivais,3,0.8
asian,Santa Maria dos Olivais,4,0.8
italian,Santa Maria dos Olivais,3,0.8
italian,Santa Maria dos Olivais,4,0.8
burger,Santa Maria dos Olivais,3,0.8
burger,Santa Maria dos Olivais,4,0.8
africa_me,Santa Maria dos Olivais,4,0.8
mexican,Santa Maria dos Olivais,3,0.8
mexican,Santa Maria dos Olivais,4,0.8
pasta,Santa Maria dos Olivais,4,0.8
japanese,Santa Maria dos Olivais,3,0.8
japanese,Santa Maria dos Olivais,4,0.8
pizza,Santa Maria dos Olivais,3,0.8
pizza,Santa Maria dos Olivais,2,0.8
portuguese,Santa Maria dos Olivais,3,0.8
portuguese,Santa Maria dos Olivais,4,0.8
indian_nepalese,Santa Maria dos Olivais,3,0.8
indian_nepalese,Santa Maria dos Olivais,4,0.8
indian_nepalese,Santa Maria dos Olivais,1,0.8
indian_nepalese,Santa Maria dos Olivais,2,0.8
grill,Santa Maria dos Olivais,3,0.8
grill,Santa Maria dos Olivais,4,0.8
bistro,Santa Maria dos Olivais,3,0.8
bistro,Santa Maria dos Olivais,4,0.8
portuguese,São Sebastião da Pedreira,1,0.8
indian_nepalese,São Sebastião da Pedreira,4,0.8
grill,São Sebastião da Pedreira,4,0.8
brunch,Almargem do Bispo,3,0.8
fado,Nossa Senhora de Fátima,1,0.8
fast_food,Nossa Senhora de Fátima,3,0.8
fast_food,Nossa Senhora de Fátima,1,0.8
fast_food,Nossa Senhora de Fátima,2,0.8
pastry,Nossa Senhora de Fátima,1,0.8
asian,Nossa Senhora de Fátima,1,0.8
italian,Nossa Senhora de Fátima,3,0.8
italian,Nossa Senhora de Fátima,1,0.8
italian,Nossa Senhora de Fátima,2,0.8
burger,Nossa Senhora de Fátima,3,0.8
burger,Nossa Senhora de Fátima,1,0.8
burger,Nossa Senhora de Fátima,2,0.8
mexican,Nossa Senhora de Fátima,1,0.8
pasta,Nossa Senhora de Fátima,1,0.8
japanese,Nossa Senhora de Fátima,3,0.8
japanese,Nossa Senhora de Fátima,1,0.8
japanese,Nossa Senhora de Fátima,2,0.8
pizza,Nossa Senhora de Fátima,3,0.8
pizza,Nossa Senhora de Fátima,1,0.8
pizza,Nossa Senhora de Fátima,2,0.8
portuguese,Nossa Senhora de Fátima,1,0.8
portuguese,Nossa Senhora de Fátima,2,0.8
grill,Nossa Senhora de Fátima,1,0.8
veggie_healthy,Nossa Senhora de Fátima,1,0.8
seafood,Nossa Senhora de Fátima,1,0.8
bar,Nossa Senhora de Fátima,1,0.8
mediterranean,Nossa Senhora de Fátima,1,0.8
cafe,Nossa Senhora de Fátima,3,0.8
cafe,Nossa Senhora de Fátima,1,0.8
brunch,Almargem do Bispo,1,0.8
cafe,Almargem do Bispo,2,0.8
bistro,São Sebastião da Pedreira,4,0.8
cafe,Almargem do Bispo,1,0.8
veggie_healthy,São Sebastião da Pedreira,4,0.8
cafe,São Sebastião da Pedreira,4,0.8
cafe,São Sebastião da Pedreira,1,0.8
brunch,São Sebastião da Pedreira,3,0.8
brunch,São Sebastião da Pedreira,2,0.8
fast_food,Almargem do Bispo,3,0.8
fast_food,Almargem do Bispo,2,0.8
asian,Almargem do Bispo,2,0.8
burger,Almargem do Bispo,3,0.8
burger,Almargem do Bispo,1,0.8
pasta,Almargem do Bispo,3,0.8
pizza,Almargem do Bispo,3,0.8
pizza,Almargem do Bispo,2,0.8
indian_nepalese,Almargem do Bispo,2,0.8
grill,Almargem do Bispo,2,0.8
bistro,Almargem do Bispo,3,0.8
bistro,Almargem do Bispo,2,0.8
south_america,Almargem do Bispo,4,0.8
seafood,Almargem do Bispo,2,0.8
bar,Almargem do Bispo,1,0.8
bar,Almargem do Bispo,2,0.8
chicken,Almargem do Bispo,3,0.8
european,Almargem do Bispo,3,0.8
european,Almargem do Bispo,2,0.8
mediterranean,Almargem do Bispo,3,0.8
mediterranean,Almargem do Bispo,4,0.8
mediterranean,Almargem do Bispo,1,0.8
mediterranean,Almargem do Bispo,2,0.8
cafe,Almargem do Bispo,3,0.8
burger,Santiago,3,0.8
burger,Santiago,2,0.8
italian,São Mamede,1,0.8
italian,São Nicolau,2,0.8
brunch,Campolide,3,0.8
brunch,Campolide,1,0.8
fado,São Nicolau,3,0.8
fado,São Nicolau,2,0.8
fast_food,São Nicolau,3,0.8
fast_food,São Nicolau,1,0.8
fast_food,São Nicolau,2,0.8
pastry,São Nicolau,3,0.8
pastry,São Nicolau,1,0.8
pastry,São Nicolau,2,0.8
asian,São Nicolau,3,0.8
asian,São Nicolau,1,0.8
asian,São Nicolau,2,0.8
italian,São Nicolau,3,0.8
burger,São Nicolau,3,0.8
indian_nepalese,São Nicolau,2,0.8
burger,São Nicolau,1,0.8
burger,São Nicolau,2,0.8
africa_me,São Nicolau,3,0.8
africa_me,São Nicolau,2,0.8
mexican,São Nicolau,3,0.8
mexican,São Nicolau,2,0.8
pasta,São Nicolau,3,0.8
pasta,São Nicolau,2,0.8
japanese,São Nicolau,3,0.8
japanese,São Nicolau,1,0.8
pizza,São Nicolau,3,0.8
pizza,São Nicolau,2,0.8
portuguese,São Nicolau,3,0.8
portuguese,São Nicolau,2,0.8
cafe,Campolide,2,0.8
cafe,Campolide,1,0.8
cafe,Campolide,4,0.8
cafe,Campolide,3,0.8
bistro,Campolide,2,0.8
veggie_healthy,Campolide,3,0.8
veggie_healthy,Campolide,4,0.8
veggie_healthy,Campolide,1,0.8
veggie_healthy,Campolide,2,0.8
south_america,Campolide,3,0.8
south_america,Campolide,4,0.8
south_america,Campolide,1,0.8
south_america,Campolide,2,0.8
seafood,Campolide,3,0.8
seafood,Campolide,4,0.8
seafood,Campolide,1,0.8
seafood,Campolide,2,0.8
bar,Campolide,3,0.8
bar,Campolide,4,0.8
bar,Campolide,1,0.8
bar,Campolide,2,0.8
chicken,Campolide,3,0.8
chicken,Campolide,4,0.8
chicken,Campolide,1,0.8
chicken,Campolide,2,0.8
european,Campolide,3,0.8
european,Campolide,4,0.8
european,Campolide,1,0.8
european,Campolide,2,0.8
mediterranean,Campolide,3,0.8
pasta,Santos-o-Velho,2,0.8
mediterranean,Campolide,1,0.8
mediterranean,Campolide,2,0.8
indian_nepalese,São Nicolau,3,0.8
grill,São Nicolau,3,0.8
africa_me,Santiago,4,0.8
mediterranean,Sé,3,0.8
portuguese,Sé,3,0.8
indian_nepalese,Sé,3,0.8
indian_nepalese,Sé,2,0.8
grill,Sé,3,0.8
grill,Sé,2,0.8
bistro,Sé,3,0.8
south_america,Sé,3,0.8
south_america,Sé,2,0.8
seafood,Sé,2,0.8
bar,Sé,3,0.8
chicken,Sé,3,0.8
chicken,Sé,2,0.8
european,Sé,3,0.8
european,Sé,2,0.8
mediterranean,Sé,2,0.8
grill,São Nicolau,2,0.8
cafe,Sé,3,0.8
cafe,Sé,2,0.8
brunch,Sé,3,0.8
fado,São Mamede,3,0.8
fado,São Mamede,1,0.8
fado,São Mamede,2,0.8
fast_food,São Mamede,3,0.8
pastry,São Mamede,3,0.8
pastry,São Mamede,1,0.8
pastry,São Mamede,2,0.8
asian,São Mamede,3,0.8
asian,São Mamede,1,0.8
asian,São Mamede,2,0.8
italian,São Mamede,3,0.8
pizza,Sé,3,0.8
pasta,Sé,2,0.8
pasta,Sé,3,0.8
mexican,Sé,2,0.8
bistro,São Nicolau,3,0.8
bistro,São Nicolau,2,0.8
south_america,São Nicolau,3,0.8
south_america,São Nicolau,2,0.8
seafood,São Nicolau,3,0.8
seafood,São Nicolau,4,0.8
seafood,São Nicolau,2,0.8
bar,São Nicolau,3,0.8
bar,São Nicolau,1,0.8
bar,São Nicolau,2,0.8
chicken,São Nicolau,3,0.8
chicken,São Nicolau,1,0.8
chicken,São Nicolau,2,0.8
european,São Nicolau,3,0.8
european,São Nicolau,2,0.8
mediterranean,São Nicolau,3,0.8
mediterranean,São Nicolau,2,0.8
cafe,São Nicolau,3,0.8
cafe,São Nicolau,2,0.8
brunch,São Nicolau,3,0.8
brunch,São Nicolau,1,0.8
fado,Sé,4,0.8
pastry,Sé,3,0.8
pastry,Sé,2,0.8
asian,Sé,3,0.8
italian,Sé,3,0.8
italian,Sé,2,0.8
burger,Sé,3,0.8
mexican,Sé,3,0.8
bistro,Campolide,1,0.8
bistro,Campolide,4,0.8
bistro,Campolide,3,0.8
mexican,Santa Justa,1,0.8
fado,Santa Justa,1,0.8
fast_food,Santa Justa,3,0.8
fast_food,Santa Justa,4,0.8
fast_food,Santa Justa,1,0.8
pastry,Santa Justa,4,0.8
pastry,Santa Justa,1,0.8
asian,Santa Justa,4,0.8
italian,Santa Justa,4,0.8
italian,Santa Justa,1,0.8
burger,Santa Justa,4,0.8
burger,Santa Justa,1,0.8
africa_me,Santa Justa,4,0.8
africa_me,Santa Justa,1,0.8
mexican,Santa Justa,4,0.8
pasta,Santa Justa,4,0.8
grill,Campolide,2,0.8
japanese,Santa Justa,3,0.8
japanese,Santa Justa,1,0.8
japanese,Santa Justa,2,0.8
pizza,Santa Justa,3,0.8
pizza,Santa Justa,4,0.8
pizza,Santa Justa,1,0.8
pizza,Santa Justa,2,0.8
portuguese,Santa Justa,4,0.8
portuguese,Santa Justa,1,0.8
indian_nepalese,Santa Justa,4,0.8
indian_nepalese,Santa Justa,1,0.8
grill,Santa Justa,4,0.8
grill,Santa Justa,1,0.8
bistro,Santa Justa,1,0.8
cafe,São Jorge de Arroios,1,0.8
seafood,São Jorge de Arroios,3,0.8
pizza,São Jorge de Arroios,1,0.8
brunch,Santiago,2,0.8
africa_me,Santiago,2,0.8
mexican,Santiago,4,0.8
mexican,Santiago,2,0.8
pasta,Santiago,4,0.8
japanese,Santiago,4,0.8
japanese,Santiago,2,0.8
pizza,Santiago,3,0.8
pizza,Santiago,4,0.8
pizza,Santiago,2,0.8
portuguese,Santiago,1,0.8
indian_nepalese,Santiago,4,0.8
indian_nepalese,Santiago,2,0.8
grill,Santiago,4,0.8
bistro,Santiago,3,0.8
bistro,Santiago,4,0.8
veggie_healthy,Santiago,3,0.8
veggie_healthy,Santiago,4,0.8
veggie_healthy,Santiago,2,0.8
south_america,Santiago,4,0.8
south_america,Santiago,2,0.8
seafood,Santiago,1,0.8
bar,Santiago,3,0.8
bar,Santiago,1,0.8
bar,Santiago,2,0.8
chicken,Santiago,3,0.8
chicken,Santiago,4,0.8
chicken,Santiago,1,0.8
european,Santiago,2,0.8
brunch,Santiago,4,0.8
veggie_healthy,Santa Justa,4,0.8
veggie_healthy,Santa Justa,1,0.8
veggie_healthy,Santa Justa,2,0.8
burger,Campolide,2,0.8
africa_me,Campolide,4,0.8
africa_me,Campolide,1,0.8
africa_me,Campolide,2,0.8
mexican,Campolide,3,0.8
mexican,Campolide,4,0.8
mexican,Campolide,1,0.8
mexican,Campolide,2,0.8
pasta,Campolide,3,0.8
pasta,Campolide,4,0.8
pasta,Campolide,1,0.8
pasta,Campolide,2,0.8
japanese,Campolide,3,0.8
japanese,Campolide,4,0.8
japanese,Campolide,2,0.8
pizza,Campolide,3,0.8
pizza,Campolide,4,0.8
pizza,Campolide,1,0.8
pizza,Campolide,2,0.8
portuguese,Campolide,3,0.8
portuguese,Campolide,4,0.8
portuguese,Campolide,1,0.8
portuguese,Campolide,2,0.8
indian_nepalese,Campolide,3,0.8
indian_nepalese,Campolide,4,0.8
indian_nepalese,Campolide,1,0.8
indian_nepalese,Campolide,2,0.8
grill,Campolide,3,0.8
grill,Campolide,4,0.8
grill,Campolide,1,0.8
africa_me,Campolide,3,0.8
burger,Campolide,1,0.8
south_america,Santa Justa,4,0.8
burger,Campolide,4,0.8
south_america,Santa Justa,1,0.8
seafood,Santa Justa,1,0.8
bar,Santa Justa,1,0.8
chicken,Santa Justa,4,0.8
european,Santa Justa,1,0.8
european,Santa Justa,2,0.8
mediterranean,Santa Justa,4,0.8
mediterranean,Santa Justa,1,0.8
cafe,Santa Justa,4,0.8
cafe,Santa Justa,1,0.8
brunch,Santa Justa,1,0.8
fado,Campolide,3,0.8
fado,Campolide,4,0.8
fado,Campolide,1,0.8
fado,Campolide,2,0.8
fast_food,Campolide,3,0.8
fast_food,Campolide,4,0.8
fast_food,Campolide,2,0.8
pastry,Campolide,3,0.8
pastry,Campolide,4,0.8
pastry,Campolide,1,0.8
pastry,Campolide,2,0.8
asian,Campolide,3,0.8
asian,Campolide,1,0.8
asian,Campolide,2,0.8
italian,Campolide,3,0.8
italian,Campolide,4,0.8
italian,Campolide,2,0.8
burger,Campolide,3,0.8
mexican,Santos-o-Velho,2,0.8
fado,Santa Maria dos Olivais,3,0.8
burger,Santo Estevão,3,0.8
fado,Socorro,2,0.8
fast_food,Socorro,3,0.8
pasta,Alto do Pina,2,0.8
south_america,Santos-o-Velho,2,0.8
south_america,Santo Estevão,1,0.8
bistro,Santa Engrácia,3,0.8
fast_food,Socorro,1,0.8
pasta,Alto do Pina,3,0.8
bistro,Santa Engrácia,4,0.8
mexican,Alto do Pina,2,0.8
mexican,Alto do Pina,1,0.8
south_america,Santo Estevão,4,0.8
veggie_healthy,Santa Engrácia,3,0.8
mexican,Alto do Pina,3,0.8
veggie_healthy,Santa Engrácia,4,0.8
veggie_healthy,Santa Engrácia,2,0.8
pastry,Socorro,2,0.8
south_america,Santa Engrácia,3,0.8
south_america,Santo Estevão,2,0.8
japanese,Alto do Pina,1,0.8
chicken,Encarnação,3,0.8
japanese,Alto do Pina,2,0.8
chicken,Santos-o-Velho,2,0.8
seafood,Santo Estevão,1,0.8
cafe,Anjos,1,0.8
indian_nepalese,Alto do Pina,2,0.8
cafe,Anjos,2,0.8
italian,Pena,1,0.8
bar,Santos-o-Velho,2,0.8
indian_nepalese,Alto do Pina,3,0.8
grill,Santa Engrácia,3,0.8
brunch,Anjos,1,0.8
portuguese,Alto do Pina,2,0.8
bar,Santos-o-Velho,3,0.8
portuguese,Alto do Pina,4,0.8
portuguese,Alto do Pina,3,0.8
pizza,Alto do Pina,2,0.8
burger,Pena,1,0.8
pizza,Alto do Pina,3,0.8
africa_me,Alto do Pina,2,0.8
asian,Socorro,3,0.8
asian,Socorro,4,0.8
veggie_healthy,Santo Estevão,2,0.8
fado,Alto do Pina,3,0.8
brunch,Encarnação,2,0.8
pasta,Socorro,1,0.8
pasta,Socorro,2,0.8
cafe,Santa Engrácia,2,0.8
brunch,Encarnação,3,0.8
cafe,Encarnação,2,0.8
japanese,Pena,2,0.8
brunch,Santa Engrácia,2,0.8
japanese,Socorro,1,0.8
cafe,Encarnação,3,0.8
bistro,Santo Estevão,4,0.8
mediterranean,Encarnação,3,0.8
european,Encarnação,2,0.8
european,Encarnação,3,0.8
pizza,Socorro,2,0.8
grill,Santos-o-Velho,2,0.8
bistro,Santo Estevão,1,0.8
mexican,Socorro,2,0.8
fast_food,Alto do Pina,3,0.8
bar,Santa Engrácia,2,0.8
mexican,Pena,1,0.8
asian,Socorro,2,0.8
africa_me,Alto do Pina,3,0.8
burger,Alto do Pina,2,0.8
burger,Alto do Pina,3,0.8
italian,Alto do Pina,1,0.8
bistro,Santo Estevão,2,0.8
chicken,Santa Engrácia,3,0.8
portuguese,São Paulo,3,0.8
portuguese,São Paulo,2,0.8
portuguese,São Paulo,4,0.8
burger,Socorro,2,0.8
pastry,Alto do Pina,3,0.8
fast_food,Alto do Pina,2,0.8
africa_me,Socorro,1,0.8
africa_me,Socorro,2,0.8
indian_nepalese,Santa Engrácia,2,0.8
seafood,Santo Estevão,2,0.8
bistro,Alto do Pina,3,0.8
africa_me,Santa Engrácia,3,0.8
grill,Anjos,1,0.8
asian,Santa Engrácia,4,0.8
portuguese,Santa Catarina,1,0.8
grill,Anjos,2,0.8
portuguese,Santa Catarina,3,0.8
japanese,Santa Catarina,1,0.8
pasta,Santa Catarina,1,0.8
veggie_healthy,Anjos,3,0.8
mexican,Santa Catarina,2,0.8
veggie_healthy,Anjos,2,0.8
mexican,Santa Catarina,3,0.8
brunch,Santo Estevão,4,0.8
cafe,Santo Estevão,2,0.8
cafe,Santo Estevão,1,0.8
cafe,Santo Estevão,3,0.8
seafood,Anjos,3,0.8
italian,Santa Catarina,2,0.8
portuguese,Santa Catarina,2,0.8
grill,Santa Catarina,4,0.8
bistro,Santa Catarina,1,0.8
pizza,Anjos,1,0.8
mediterranean,Santa Catarina,4,0.8
asian,Anjos,2,0.8
asian,Anjos,1,0.8
portuguese,Madalena,4,0.8
seafood,Madalena,1,0.8
pizza,Anjos,3,0.8
fado,Santa Engrácia,3,0.8
pizza,Anjos,2,0.8
pastry,Santa Engrácia,2,0.8
asian,Anjos,3,0.8
seafood,Santa Catarina,4,0.8
fast_food,Santa Engrácia,3,0.8
pastry,Anjos,2,0.8
pastry,Anjos,1,0.8
pasta,Madalena,1,0.8
indian_nepalese,Anjos,3,0.8
italian,Santa Catarina,1,0.8
italian,Santa Catarina,3,0.8
portuguese,Santa Engrácia,2,0.8
seafood,Anjos,2,0.8
bar,Alto do Pina,2,0.8
bar,Alto do Pina,1,0.8
pastry,Pena,1,0.8
pastry,Pena,2,0.8
japanese,Santa Engrácia,2,0.8
south_america,Alto do Pina,2,0.8
south_america,Alto do Pina,1,0.8
mediterranean,Santos-o-Velho,2,0.8
bar,Santo Estevão,2,0.8
portuguese,Santa Engrácia,3,0.8
mediterranean,Anjos,3,0.8
veggie_healthy,Alto do Pina,2,0.8
bar,Santo Estevão,1,0.8
bistro,Alto do Pina,2,0.8
european,Santos-o-Velho,2,0.8
bistro,Alto do Pina,1,0.8
asian,Pena,1,0.8
chicken,Santo Estevão,3,0.8
chicken,Santo Estevão,1,0.8
japanese,Santa Engrácia,3,0.8
european,Santo Estevão,1,0.8
mediterranean,Santo Estevão,2,0.8
mediterranean,Santo Estevão,1,0.8
fast_food,Madalena,1,0.8
asian,Santa Catarina,3,0.8
mexican,Santa Engrácia,3,0.8
bar,Anjos,3,0.8
european,Santo Estevão,2,0.8
fado,Pena,1,0.8
chicken,Alto do Pina,1,0.8
chicken,Santo Estevão,2,0.8
seafood,São Paulo,3,0.8
mediterranean,Alto do Pina,2,0.8
european,Alto do Pina,2,0.8
pasta,Santa Engrácia,3,0.8
european,Alto do Pina,1,0.8
european,Alto do Pina,3,0.8
portuguese,Socorro,4,0.8
fado,Alto do Pina,2,0.8
pizza,Pena,2,0.8
pastry,Santa Isabel,1,0.8
japanese,Santo Estevão,4,0.8
european,Santa Isabel,1,0.8
cafe,Pena,1,0.8
japanese,Santo Estevão,3,0.8
fado,Graça,4,0.8
fado,Santo Estevão,1,0.8
pasta,Santo Estevão,2,0.8
fast_food,Graça,4,0.8
asian,Graça,4,0.8
asian,Graça,1,0.8
italian,Graça,4,0.8
italian,Graça,1,0.8
italian,Graça,2,0.8
bar,Santa Isabel,1,0.8
pasta,Santo Estevão,1,0.8
burger,Graça,4,0.8
africa_me,Graça,4,0.8
africa_me,Santa Isabel,1,0.8
mediterranean,Santa Isabel,1,0.8
japanese,Santo Estevão,1,0.8
italian,Santa Isabel,1,0.8
pastry,Encarnação,3,0.8
asian,Santa Isabel,1,0.8
fast_food,Encarnação,2,0.8
european,Pena,1,0.8
italian,Santa Isabel,3,0.8
fast_food,Encarnação,3,0.8
fado,Encarnação,2,0.8
italian,Santa Isabel,2,0.8
burger,Santa Isabel,2,0.8
burger,Santa Isabel,3,0.8
fado,Encarnação,3,0.8
brunch,Santa Isabel,1,0.8
burger,Santa Isabel,1,0.8
cafe,Santa Isabel,2,0.8
cafe,Santa Isabel,1,0.8
portuguese,Socorro,2,0.8
mexican,Graça,4,0.8
pasta,Graça,4,0.8
pasta,Graça,1,0.8
bistro,Santa Isabel,1,0.8
portuguese,Santa Isabel,1,0.8
africa_me,Santo Estevão,1,0.8
south_america,Graça,4,0.8
asian,Santo Estevão,4,0.8
burger,Santo Estevão,2,0.8
chicken,Graça,4,0.8
european,Graça,3,0.8
burger,Santo Estevão,1,0.8
grill,Graça,4,0.8
european,Graça,2,0.8
asian,Santo Estevão,2,0.8
cafe,Graça,1,0.8
grill,Santa Isabel,2,0.8
indian_nepalese,Santa Isabel,1,0.8
japanese,Santos-o-Velho,3,0.8
grill,Santa Isabel,3,0.8
bistro,Graça,4,0.8
veggie_healthy,Santa Isabel,1,0.8
seafood,Santa Isabel,1,0.8
mexican,Santo Estevão,1,0.8
mexican,Santo Estevão,2,0.8
pasta,Graça,2,0.8
