,name,type,rating,review_count,price,address,label
1232,Pastel do Fado,fado,3.6,430.0,,"Rua Limoeiro 10, 1100-058 Lisboa","['Dine-in', 'Takeaway', 'No delivery']"
1233,Guitarras de Lisboa,fado,4.3,230.0,2.0,"Beco do Melo 1, 1100-345 Lisboa","['Dine-in', 'No delivery']"
1239,O Corrido – Casa de Fado,fado,4.8,195.0,2.0,"Campo de Santa Clara 49, 1100-471 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
1240,Casa de Linhares (Fado),fado,4.4,593.0,2.0,"Beco dos Armazéns do Linho 2, 1100-037 Lisboa, Portugal","['Dine-in', 'No delivery']"
1244,Alfama Fado Restaurant,fado,3.8,22.0,,"R. de São Pedro 4, 1100-345 Lisboa, Portugal","['Dine-in', 'No delivery']"
1245,Casa de Fado,fado,4.3,103.0,,"R. da Barroca 56, 1200-043 Lisboa, Portugal",['Dine-in']
1246,Mabiche Pizza Arroios,pizza,4.5,543.0,2.0,"R. Passos Manuel 9, 1150-020 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1247,Lupita Pizzaria,pizza,4.8,385.0,,"Rua de S. Paulo 79, 1200-427 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1248,The Pizza Wizard,pizza,4.5,172.0,1.0,"R. Andrade 71, 1170-016 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1249,Retrogusto84,pizza,4.6,886.0,2.0,"R. Maria 54, 1170-212 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1250,ZeroZero,pizza,4.3,2462.0,2.0,"R. da Escola Politécnica 32, 1250-102 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1251,Kumar-Doner Kebab e Pizzeria,pizza,4.1,498.0,1.0,"Portugal, Largo Santa Bárbara 7D, 1150-287 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1252,Jamie Oliver's Pizzeria Lisboa,pizza,4.3,415.0,2.0,"Rua do Loreto 12, 1200-108 Lisboa","['Dine-in', 'Takeaway', 'No-contact delivery']"
1253,La Puttana,pizza,4.3,492.0,2.0,"Portugal, R. Nova do Carvalho 70, 1200-292 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1254,Pizzeria Mezzogiorno,italian,4.0,1206.0,2.0,"Rua Garrett 19 - Galerias Páteo Garrett, lojas C, D, 1200-203 Lisboa","['Dine-in', 'Delivery']"
1255,Mundo Gourmet Pizzaria,pizza,4.5,128.0,,"R. Heliodoro Salgado 22B, 1170-177 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1256,Pizzaria Luzzo | Graça,pizza,4.4,107.0,2.0,"Largo da Graça 24, 1170-165 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1258,Pizza Misura (A pizza a tua medida),italian,4.5,244.0,1.0,"R. da Misericórdia 105, 1200-334 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1260,ZeroZero Príncipe Real,pizza,4.3,2462.0,2.0,"R. da Escola Politécnica 32, 1250-102 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
1261,Mr. Pizza,pizza,4.3,456.0,1.0,"R. Saraiva de Carvalho 199B, 1350-300 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
1262,Primo Basílico,pizza,4.6,458.0,1.0,"R. dos Remédios 37, 1100-115 Lisboa, Portugal",['nan']
1263,Pizzaria do Bairro,pizza,4.2,195.0,1.0,"Armazém A, n.º 18, R. da Cintura do Porto de Lisboa, Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
1264,Coyo Taco - Príncipe Real,mexican,4.2,724.0,2.0,"R. Dom Pedro V nº 65, 1250-093 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
1265,Taqueria Patron,mexican,4.1,446.0,1.0,"R. do Gremio Lusitano 8, 1200-113 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
1266,Coyo Taco - Cais do Sodré,mexican,4.0,221.0,2.0,"R. Ribeira Nova 36, 1200-376 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
1267,Taqueria do Chiado by Espada,mexican,4.1,145.0,,"R. Trindade 36C, 1200-235 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
1268,Las Ficheras,mexican,3.9,1569.0,2.0,"R. dos Remolares 34, 1200-371 Lisboa","['Dine-in', 'Takeaway', 'Delivery']"
1269,La Fugitiva Taco Bar,mexican,4.4,23.0,,"Rua de S. Paulo 186, 1200-249 Lisboa","['Dine-in', 'Curbside pickup', 'No delivery']"
1273,CARNAL,mexican,5.0,7.0,,"R. da Misericórdia 78, 1200-385 Lisboa",['Dine-in']
1274,Dona Maria,mexican,4.3,48.0,,"Calçada Santana 175, 1150-307 Lisboa","['Dine-in', 'Takeaway']"
1275,CASA DOS AMIGOS,mexican,4.2,125.0,,"R. dos Remédios 140, 1100-451 Lisboa","['Dine-in', 'Takeaway', 'No delivery']"
1276,El Paso Cantina Mexicana y Cocktail Bar,mexican,4.0,8.0,,"R. das Portas de Santo Antão 125, 1150-312 Lisboa","['Dine-in', 'Takeaway']"
1277,La fugitiva,mexican,4.3,22.0,,"Rua de S. Paulo 186, 1200-058 Lisboa","['Dine-in', 'Takeaway']"
1278,Tico y Taco,mexican,4.8,4.0,,"R. da Atalaia 4, 1200-050 Lisboa","['Dine-in', 'Takeaway']"
1280,El Tacos Mexican & Cocktails Bar ( Bairro Alto),mexican,3.9,431.0,2.0,"R. do Diário de Notícias 23, 1200-283 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
