,type_of_food,neighborhood,price,outputs
1436,fado,Santos-o-Velho,2,0.8
1432,fast_food,Santos-o-Velho,2,0.8
1428,pastry,Santos-o-Velho,2,0.8
1427,asian,Santos-o-Velho,3,0.8
1424,asian,Santos-o-Velho,2,0.8
1420,italian,Santos-o-Velho,2,0.8
1419,burger,Santos-o-Velho,3,0.8
1416,burger,Santos-o-Velho,2,0.8
1411,mexican,Santos-o-Velho,3,0.8
1609,burger,Mercês,1,0.8
1625,fast_food,Mercês,1,0.8
1703,africa_me,Coração de Jesus,3,0.8
1629,fado,Mercês,1,0.8
1700,africa_me,Coração de Jesus,2,0.8
1699,mexican,Coração de Jesus,3,0.8
1696,mexican,Coração de Jesus,2,0.8
1695,pasta,Coração de Jesus,3,0.8
1692,pasta,Coração de Jesus,2,0.8
1688,japanese,Coração de Jesus,2,0.8
1687,pizza,Coração de Jesus,3,0.8
1684,pizza,Coração de Jesus,2,0.8
1683,portuguese,Coração de Jesus,3,0.8
1681,portuguese,Coração de Jesus,1,0.8
1679,indian_nepalese,Coração de Jesus,3,0.8
1676,indian_nepalese,Coração de Jesus,2,0.8
1667,veggie_healthy,Coração de Jesus,3,0.8
1664,veggie_healthy,Coração de Jesus,2,0.8
1663,south_america,Coração de Jesus,3,0.8
1660,south_america,Coração de Jesus,2,0.8
1657,seafood,Coração de Jesus,1,0.8
1652,bar,Coração de Jesus,2,0.8
1651,chicken,Coração de Jesus,3,0.8
1648,chicken,Coração de Jesus,2,0.8
1643,mediterranean,Coração de Jesus,3,0.8
1640,mediterranean,Coração de Jesus,2,0.8
1632,brunch,Coração de Jesus,2,0.8
1861,bistro,Sacramento,1,0.8
1866,grill,Sacramento,4,0.8
2067,portuguese,Mártires,3,0.8
2025,mediterranean,Mártires,1,0.8
2023,cafe,Mártires,3,0.8
2021,cafe,Mártires,1,0.8
2020,cafe,Mártires,2,0.8
2019,brunch,Mártires,3,0.8
2017,brunch,Mártires,1,0.8
2016,brunch,Mártires,2,0.8
2014,fado,São Miguel,4,0.8
2013,fado,São Miguel,1,0.8
2012,fado,São Miguel,2,0.8
2011,fast_food,São Miguel,3,0.8
2010,fast_food,São Miguel,4,0.8
2006,pastry,São Miguel,4,0.8
2004,pastry,São Miguel,2,0.8
2002,asian,São Miguel,4,0.8
2000,asian,São Miguel,2,0.8
1999,italian,São Miguel,3,0.8
1998,italian,São Miguel,4,0.8
1996,italian,São Miguel,2,0.8
1995,burger,São Miguel,3,0.8
1994,burger,São Miguel,4,0.8
1992,burger,São Miguel,2,0.8
1991,africa_me,São Miguel,3,0.8
1990,africa_me,São Miguel,4,0.8
2024,mediterranean,Mártires,2,0.8
2027,mediterranean,Mártires,3,0.8
1986,mexican,São Miguel,4,0.8
2028,european,Mártires,2,0.8
2066,portuguese,Mártires,4,0.8
2065,portuguese,Mártires,1,0.8
2064,portuguese,Mártires,2,0.8
2063,indian_nepalese,Mártires,3,0.8
2060,indian_nepalese,Mártires,2,0.8
2059,grill,Mártires,3,0.8
2056,grill,Mártires,2,0.8
2055,bistro,Mártires,3,0.8
2053,bistro,Mártires,1,0.8
2052,bistro,Mártires,2,0.8
2051,veggie_healthy,Mártires,3,0.8
2048,veggie_healthy,Mártires,2,0.8
2047,south_america,Mártires,3,0.8
2045,south_america,Mártires,1,0.8
2044,south_america,Mártires,2,0.8
2043,seafood,Mártires,3,0.8
2041,seafood,Mártires,1,0.8
2040,seafood,Mártires,2,0.8
2039,bar,Mártires,3,0.8
2036,bar,Mártires,2,0.8
2035,chicken,Mártires,3,0.8
2032,chicken,Mártires,2,0.8
2031,european,Mártires,3,0.8
1987,mexican,São Miguel,3,0.8
1984,mexican,São Miguel,2,0.8
1870,indian_nepalese,Sacramento,4,0.8
1926,cafe,São Miguel,4,0.8
1919,fado,Sacramento,3,0.8
1918,fado,Sacramento,4,0.8
1917,fado,Sacramento,1,0.8
1914,fast_food,Sacramento,4,0.8
1913,fast_food,Sacramento,1,0.8
1912,fast_food,Sacramento,2,0.8
1910,pastry,Sacramento,4,0.8
1908,pastry,Sacramento,2,0.8
1906,asian,Sacramento,4,0.8
1902,italian,Sacramento,4,0.8
1901,italian,Sacramento,1,0.8
1898,burger,Sacramento,4,0.8
1894,africa_me,Sacramento,4,0.8
1890,mexican,Sacramento,4,0.8
1886,pasta,Sacramento,4,0.8
1885,pasta,Sacramento,1,0.8
1883,japanese,Sacramento,3,0.8
1882,japanese,Sacramento,4,0.8
1881,japanese,Sacramento,1,0.8
1880,japanese,Sacramento,2,0.8
1878,pizza,Sacramento,4,0.8
1876,pizza,Sacramento,2,0.8
1873,portuguese,Sacramento,1,0.8
1924,cafe,São Miguel,2,0.8
1927,cafe,São Miguel,3,0.8
1982,pasta,São Miguel,4,0.8
1928,mediterranean,São Miguel,2,0.8
1981,pasta,São Miguel,1,0.8
1980,pasta,São Miguel,2,0.8
1979,japanese,São Miguel,3,0.8
1975,pizza,São Miguel,3,0.8
1974,pizza,São Miguel,4,0.8
1972,pizza,São Miguel,2,0.8
1970,portuguese,São Miguel,4,0.8
1968,portuguese,São Miguel,2,0.8
1966,indian_nepalese,São Miguel,4,0.8
1964,indian_nepalese,São Miguel,2,0.8
1963,grill,São Miguel,3,0.8
1962,grill,São Miguel,4,0.8
1960,grill,São Miguel,2,0.8
1955,veggie_healthy,São Miguel,3,0.8
1952,veggie_healthy,São Miguel,2,0.8
1950,south_america,São Miguel,4,0.8
1948,south_america,São Miguel,2,0.8
1942,bar,São Miguel,4,0.8
1939,chicken,São Miguel,3,0.8
1938,chicken,São Miguel,4,0.8
1936,chicken,São Miguel,2,0.8
1932,european,São Miguel,2,0.8
1931,mediterranean,São Miguel,3,0.8
2283,burger,São Mamede,3,0.8
2506,mediterranean,Campolide,4,0.8
2284,italian,São Mamede,2,0.8
3044,africa_me,Castelo,2,0.8
3070,fado,Castelo,4,0.8
3069,fado,Castelo,1,0.8
3068,fado,Castelo,2,0.8
3067,fast_food,Castelo,3,0.8
3066,fast_food,Castelo,4,0.8
3064,fast_food,Castelo,2,0.8
3062,pastry,Castelo,4,0.8
3058,asian,Castelo,4,0.8
3056,asian,Castelo,2,0.8
3054,italian,Castelo,4,0.8
3051,burger,Castelo,3,0.8
3050,burger,Castelo,4,0.8
3048,burger,Castelo,2,0.8
3046,africa_me,Castelo,4,0.8
3042,mexican,Castelo,4,0.8
3008,veggie_healthy,Castelo,2,0.8
3041,mexican,Castelo,1,0.8
3040,mexican,Castelo,2,0.8
3038,pasta,Castelo,4,0.8
3037,pasta,Castelo,1,0.8
3034,japanese,Castelo,4,0.8
3032,japanese,Castelo,2,0.8
3031,pizza,Castelo,3,0.8
3030,pizza,Castelo,4,0.8
3028,pizza,Castelo,2,0.8
3025,portuguese,Castelo,1,0.8
3020,indian_nepalese,Castelo,2,0.8
3018,grill,Castelo,4,0.8
3015,bistro,Castelo,3,0.8
3014,bistro,Castelo,4,0.8
3076,cafe,Alvalade,2,0.8
3077,cafe,Alvalade,1,0.8
3079,cafe,Alvalade,3,0.8
3121,portuguese,Alvalade,1,0.8
3252,pastry,São Domingos de Benfica,2,0.8
3247,italian,São Domingos de Benfica,3,0.8
3245,italian,São Domingos de Benfica,1,0.8
3244,italian,São Domingos de Benfica,2,0.8
3243,burger,São Domingos de Benfica,3,0.8
3241,burger,São Domingos de Benfica,1,0.8
3240,burger,São Domingos de Benfica,2,0.8
3224,japanese,São Domingos de Benfica,2,0.8
3223,pizza,São Domingos de Benfica,3,0.8
3220,pizza,São Domingos de Benfica,2,0.8
3203,veggie_healthy,São Domingos de Benfica,3,0.8
3200,veggie_healthy,São Domingos de Benfica,2,0.8
3195,seafood,São Domingos de Benfica,3,0.8
3192,seafood,São Domingos de Benfica,2,0.8
3183,european,São Domingos de Benfica,3,0.8
3180,european,São Domingos de Benfica,2,0.8
3169,brunch,São Domingos de Benfica,1,0.8
3168,brunch,São Domingos de Benfica,2,0.8
3163,fast_food,Alvalade,3,0.8
3162,fast_food,Alvalade,4,0.8
3161,fast_food,Alvalade,1,0.8
3160,fast_food,Alvalade,2,0.8
3157,pastry,Alvalade,1,0.8
3153,asian,Alvalade,1,0.8
3149,italian,Alvalade,1,0.8
3129,japanese,Alvalade,1,0.8
3127,pizza,Alvalade,3,0.8
3125,pizza,Alvalade,1,0.8
3124,pizza,Alvalade,2,0.8
3011,veggie_healthy,Castelo,3,0.8
3006,south_america,Castelo,4,0.8
2858,burger,Santiago,4,0.8
2888,mediterranean,Santo Condestável,2,0.8
2916,bistro,Santo Condestável,2,0.8
2915,veggie_healthy,Santo Condestável,3,0.8
2912,veggie_healthy,Santo Condestável,2,0.8
2911,south_america,Santo Condestável,3,0.8
2908,south_america,Santo Condestável,2,0.8
2907,seafood,Santo Condestável,3,0.8
2904,seafood,Santo Condestável,2,0.8
2903,bar,Santo Condestável,3,0.8
2900,bar,Santo Condestável,2,0.8
2899,chicken,Santo Condestável,3,0.8
2896,chicken,Santo Condestável,2,0.8
2895,european,Santo Condestável,3,0.8
2892,european,Santo Condestável,2,0.8
2891,mediterranean,Santo Condestável,3,0.8
2887,cafe,Santo Condestável,3,0.8
3004,south_america,Castelo,2,0.8
2884,cafe,Santo Condestável,2,0.8
2883,brunch,Santo Condestável,3,0.8
2882,brunch,Santo Condestável,4,0.8
2880,brunch,Santo Condestável,2,0.8
2878,fado,Santiago,4,0.8
2876,fado,Santiago,2,0.8
2875,fast_food,Santiago,3,0.8
2874,fast_food,Santiago,4,0.8
2872,fast_food,Santiago,2,0.8
2870,pastry,Santiago,4,0.8
2868,pastry,Santiago,2,0.8
2866,asian,Santiago,4,0.8
2864,asian,Santiago,2,0.8
2862,italian,Santiago,4,0.8
2919,bistro,Santo Condestável,3,0.8
2920,grill,Santo Condestável,2,0.8
2922,grill,Santo Condestável,4,0.8
2923,grill,Santo Condestável,3,0.8
3001,seafood,Castelo,1,0.8
2999,bar,Castelo,3,0.8
2997,bar,Castelo,1,0.8
2995,chicken,Castelo,3,0.8
2994,chicken,Castelo,4,0.8
2993,chicken,Castelo,1,0.8
2978,brunch,Castelo,4,0.8
2975,fado,Santo Condestável,3,0.8
2972,fado,Santo Condestável,2,0.8
2971,fast_food,Santo Condestável,3,0.8
2968,fast_food,Santo Condestável,2,0.8
2967,pastry,Santo Condestável,3,0.8
2964,pastry,Santo Condestável,2,0.8
2963,asian,Santo Condestável,3,0.8
2960,asian,Santo Condestável,2,0.8
2959,italian,Santo Condestável,3,0.8
2956,italian,Santo Condestável,2,0.8
2951,africa_me,Santo Condestável,3,0.8
2948,africa_me,Santo Condestável,2,0.8
2947,mexican,Santo Condestável,3,0.8
2944,mexican,Santo Condestável,2,0.8
2943,pasta,Santo Condestável,3,0.8
2940,pasta,Santo Condestável,2,0.8
2935,pizza,Santo Condestável,3,0.8
2932,pizza,Santo Condestável,2,0.8
2931,portuguese,Santo Condestável,3,0.8
2928,portuguese,Santo Condestável,2,0.8
2927,indian_nepalese,Santo Condestável,3,0.8
2924,indian_nepalese,Santo Condestável,2,0.8
3255,pastry,São Domingos de Benfica,3,0.8
3256,fast_food,São Domingos de Benfica,2,0.8
3259,fast_food,São Domingos de Benfica,3,0.8
3547,fast_food,São Sebastião da Pedreira,3,0.8
3579,seafood,Santa Maria dos Olivais,3,0.8
3578,seafood,Santa Maria dos Olivais,4,0.8
3575,bar,Santa Maria dos Olivais,3,0.8
3574,bar,Santa Maria dos Olivais,4,0.8
3571,chicken,Santa Maria dos Olivais,3,0.8
3570,chicken,Santa Maria dos Olivais,4,0.8
3567,european,Santa Maria dos Olivais,3,0.8
3566,european,Santa Maria dos Olivais,4,0.8
3563,mediterranean,Santa Maria dos Olivais,3,0.8
3562,mediterranean,Santa Maria dos Olivais,4,0.8
3559,cafe,Santa Maria dos Olivais,3,0.8
3558,cafe,Santa Maria dos Olivais,4,0.8
3555,brunch,Santa Maria dos Olivais,3,0.8
3554,brunch,Santa Maria dos Olivais,4,0.8
3546,fast_food,São Sebastião da Pedreira,4,0.8
3268,cafe,Nossa Senhora de Fátima,2,0.8
3545,fast_food,São Sebastião da Pedreira,1,0.8
3544,fast_food,São Sebastião da Pedreira,2,0.8
3542,pastry,São Sebastião da Pedreira,4,0.8
3541,pastry,São Sebastião da Pedreira,1,0.8
3540,pastry,São Sebastião da Pedreira,2,0.8
3534,italian,São Sebastião da Pedreira,4,0.8
3533,italian,São Sebastião da Pedreira,1,0.8
3532,italian,São Sebastião da Pedreira,2,0.8
3530,burger,São Sebastião da Pedreira,4,0.8
3515,japanese,São Sebastião da Pedreira,3,0.8
3513,japanese,São Sebastião da Pedreira,1,0.8
3512,japanese,São Sebastião da Pedreira,2,0.8
3511,pizza,São Sebastião da Pedreira,3,0.8
3508,pizza,São Sebastião da Pedreira,2,0.8
3582,south_america,Santa Maria dos Olivais,4,0.8
3583,south_america,Santa Maria dos Olivais,3,0.8
3586,veggie_healthy,Santa Maria dos Olivais,4,0.8
3587,veggie_healthy,Santa Maria dos Olivais,3,0.8
3646,fado,Santa Maria dos Olivais,4,0.8
3643,fast_food,Santa Maria dos Olivais,3,0.8
3642,fast_food,Santa Maria dos Olivais,4,0.8
3639,pastry,Santa Maria dos Olivais,3,0.8
3638,pastry,Santa Maria dos Olivais,4,0.8
3635,asian,Santa Maria dos Olivais,3,0.8
3634,asian,Santa Maria dos Olivais,4,0.8
3631,italian,Santa Maria dos Olivais,3,0.8
3630,italian,Santa Maria dos Olivais,4,0.8
3627,burger,Santa Maria dos Olivais,3,0.8
3626,burger,Santa Maria dos Olivais,4,0.8
3622,africa_me,Santa Maria dos Olivais,4,0.8
3619,mexican,Santa Maria dos Olivais,3,0.8
3618,mexican,Santa Maria dos Olivais,4,0.8
3614,pasta,Santa Maria dos Olivais,4,0.8
3611,japanese,Santa Maria dos Olivais,3,0.8
3610,japanese,Santa Maria dos Olivais,4,0.8
3607,pizza,Santa Maria dos Olivais,3,0.8
3604,pizza,Santa Maria dos Olivais,2,0.8
3603,portuguese,Santa Maria dos Olivais,3,0.8
3602,portuguese,Santa Maria dos Olivais,4,0.8
3599,indian_nepalese,Santa Maria dos Olivais,3,0.8
3598,indian_nepalese,Santa Maria dos Olivais,4,0.8
3597,indian_nepalese,Santa Maria dos Olivais,1,0.8
3596,indian_nepalese,Santa Maria dos Olivais,2,0.8
3595,grill,Santa Maria dos Olivais,3,0.8
3594,grill,Santa Maria dos Olivais,4,0.8
3591,bistro,Santa Maria dos Olivais,3,0.8
3590,bistro,Santa Maria dos Olivais,4,0.8
3505,portuguese,São Sebastião da Pedreira,1,0.8
3502,indian_nepalese,São Sebastião da Pedreira,4,0.8
3498,grill,São Sebastião da Pedreira,4,0.8
3363,brunch,Almargem do Bispo,3,0.8
3357,fado,Nossa Senhora de Fátima,1,0.8
3355,fast_food,Nossa Senhora de Fátima,3,0.8
3353,fast_food,Nossa Senhora de Fátima,1,0.8
3352,fast_food,Nossa Senhora de Fátima,2,0.8
3349,pastry,Nossa Senhora de Fátima,1,0.8
3345,asian,Nossa Senhora de Fátima,1,0.8
3343,italian,Nossa Senhora de Fátima,3,0.8
3341,italian,Nossa Senhora de Fátima,1,0.8
3340,italian,Nossa Senhora de Fátima,2,0.8
3339,burger,Nossa Senhora de Fátima,3,0.8
3337,burger,Nossa Senhora de Fátima,1,0.8
3336,burger,Nossa Senhora de Fátima,2,0.8
3329,mexican,Nossa Senhora de Fátima,1,0.8
3325,pasta,Nossa Senhora de Fátima,1,0.8
3323,japanese,Nossa Senhora de Fátima,3,0.8
3321,japanese,Nossa Senhora de Fátima,1,0.8
3320,japanese,Nossa Senhora de Fátima,2,0.8
3319,pizza,Nossa Senhora de Fátima,3,0.8
3317,pizza,Nossa Senhora de Fátima,1,0.8
3316,pizza,Nossa Senhora de Fátima,2,0.8
3313,portuguese,Nossa Senhora de Fátima,1,0.8
3312,portuguese,Nossa Senhora de Fátima,2,0.8
3305,grill,Nossa Senhora de Fátima,1,0.8
3297,veggie_healthy,Nossa Senhora de Fátima,1,0.8
3289,seafood,Nossa Senhora de Fátima,1,0.8
3285,bar,Nossa Senhora de Fátima,1,0.8
3273,mediterranean,Nossa Senhora de Fátima,1,0.8
3271,cafe,Nossa Senhora de Fátima,3,0.8
3269,cafe,Nossa Senhora de Fátima,1,0.8
3361,brunch,Almargem do Bispo,1,0.8
3364,cafe,Almargem do Bispo,2,0.8
3494,bistro,São Sebastião da Pedreira,4,0.8
3365,cafe,Almargem do Bispo,1,0.8
3490,veggie_healthy,São Sebastião da Pedreira,4,0.8
3462,cafe,São Sebastião da Pedreira,4,0.8
3461,cafe,São Sebastião da Pedreira,1,0.8
3459,brunch,São Sebastião da Pedreira,3,0.8
3456,brunch,São Sebastião da Pedreira,2,0.8
3451,fast_food,Almargem do Bispo,3,0.8
3448,fast_food,Almargem do Bispo,2,0.8
3440,asian,Almargem do Bispo,2,0.8
3435,burger,Almargem do Bispo,3,0.8
3433,burger,Almargem do Bispo,1,0.8
3423,pasta,Almargem do Bispo,3,0.8
3415,pizza,Almargem do Bispo,3,0.8
3412,pizza,Almargem do Bispo,2,0.8
3404,indian_nepalese,Almargem do Bispo,2,0.8
3400,grill,Almargem do Bispo,2,0.8
3399,bistro,Almargem do Bispo,3,0.8
3396,bistro,Almargem do Bispo,2,0.8
3390,south_america,Almargem do Bispo,4,0.8
3384,seafood,Almargem do Bispo,2,0.8
3381,bar,Almargem do Bispo,1,0.8
3380,bar,Almargem do Bispo,2,0.8
3379,chicken,Almargem do Bispo,3,0.8
3375,european,Almargem do Bispo,3,0.8
3372,european,Almargem do Bispo,2,0.8
3371,mediterranean,Almargem do Bispo,3,0.8
3370,mediterranean,Almargem do Bispo,4,0.8
3369,mediterranean,Almargem do Bispo,1,0.8
3368,mediterranean,Almargem do Bispo,2,0.8
3367,cafe,Almargem do Bispo,3,0.8
2859,burger,Santiago,3,0.8
2856,burger,Santiago,2,0.8
2285,italian,São Mamede,1,0.8
2476,italian,São Nicolau,2,0.8
2499,brunch,Campolide,3,0.8
2497,brunch,Campolide,1,0.8
2495,fado,São Nicolau,3,0.8
2492,fado,São Nicolau,2,0.8
2491,fast_food,São Nicolau,3,0.8
2489,fast_food,São Nicolau,1,0.8
2488,fast_food,São Nicolau,2,0.8
2487,pastry,São Nicolau,3,0.8
2485,pastry,São Nicolau,1,0.8
2484,pastry,São Nicolau,2,0.8
2483,asian,São Nicolau,3,0.8
2481,asian,São Nicolau,1,0.8
2480,asian,São Nicolau,2,0.8
2479,italian,São Nicolau,3,0.8
2475,burger,São Nicolau,3,0.8
2444,indian_nepalese,São Nicolau,2,0.8
2473,burger,São Nicolau,1,0.8
2472,burger,São Nicolau,2,0.8
2471,africa_me,São Nicolau,3,0.8
2468,africa_me,São Nicolau,2,0.8
2467,mexican,São Nicolau,3,0.8
2464,mexican,São Nicolau,2,0.8
2463,pasta,São Nicolau,3,0.8
2460,pasta,São Nicolau,2,0.8
2459,japanese,São Nicolau,3,0.8
2457,japanese,São Nicolau,1,0.8
2455,pizza,São Nicolau,3,0.8
2452,pizza,São Nicolau,2,0.8
2451,portuguese,São Nicolau,3,0.8
2448,portuguese,São Nicolau,2,0.8
2500,cafe,Campolide,2,0.8
2501,cafe,Campolide,1,0.8
2502,cafe,Campolide,4,0.8
2503,cafe,Campolide,3,0.8
2532,bistro,Campolide,2,0.8
2531,veggie_healthy,Campolide,3,0.8
2530,veggie_healthy,Campolide,4,0.8
2529,veggie_healthy,Campolide,1,0.8
2528,veggie_healthy,Campolide,2,0.8
2527,south_america,Campolide,3,0.8
2526,south_america,Campolide,4,0.8
2525,south_america,Campolide,1,0.8
2524,south_america,Campolide,2,0.8
2523,seafood,Campolide,3,0.8
2522,seafood,Campolide,4,0.8
2521,seafood,Campolide,1,0.8
2520,seafood,Campolide,2,0.8
2519,bar,Campolide,3,0.8
2518,bar,Campolide,4,0.8
2517,bar,Campolide,1,0.8
2516,bar,Campolide,2,0.8
2515,chicken,Campolide,3,0.8
2514,chicken,Campolide,4,0.8
2513,chicken,Campolide,1,0.8
2512,chicken,Campolide,2,0.8
2511,european,Campolide,3,0.8
2510,european,Campolide,4,0.8
2509,european,Campolide,1,0.8
2508,european,Campolide,2,0.8
2507,mediterranean,Campolide,3,0.8
1404,pasta,Santos-o-Velho,2,0.8
2505,mediterranean,Campolide,1,0.8
2504,mediterranean,Campolide,2,0.8
2447,indian_nepalese,São Nicolau,3,0.8
2443,grill,São Nicolau,3,0.8
2854,africa_me,Santiago,4,0.8
2315,mediterranean,Sé,3,0.8
2355,portuguese,Sé,3,0.8
2351,indian_nepalese,Sé,3,0.8
2348,indian_nepalese,Sé,2,0.8
2347,grill,Sé,3,0.8
2344,grill,Sé,2,0.8
2343,bistro,Sé,3,0.8
2335,south_america,Sé,3,0.8
2332,south_america,Sé,2,0.8
2328,seafood,Sé,2,0.8
2327,bar,Sé,3,0.8
2323,chicken,Sé,3,0.8
2320,chicken,Sé,2,0.8
2319,european,Sé,3,0.8
2316,european,Sé,2,0.8
2312,mediterranean,Sé,2,0.8
2440,grill,São Nicolau,2,0.8
2311,cafe,Sé,3,0.8
2308,cafe,Sé,2,0.8
2307,brunch,Sé,3,0.8
2303,fado,São Mamede,3,0.8
2301,fado,São Mamede,1,0.8
2300,fado,São Mamede,2,0.8
2299,fast_food,São Mamede,3,0.8
2295,pastry,São Mamede,3,0.8
2293,pastry,São Mamede,1,0.8
2292,pastry,São Mamede,2,0.8
2291,asian,São Mamede,3,0.8
2289,asian,São Mamede,1,0.8
2288,asian,São Mamede,2,0.8
2287,italian,São Mamede,3,0.8
2359,pizza,Sé,3,0.8
2364,pasta,Sé,2,0.8
2367,pasta,Sé,3,0.8
2368,mexican,Sé,2,0.8
2439,bistro,São Nicolau,3,0.8
2436,bistro,São Nicolau,2,0.8
2431,south_america,São Nicolau,3,0.8
2428,south_america,São Nicolau,2,0.8
2427,seafood,São Nicolau,3,0.8
2426,seafood,São Nicolau,4,0.8
2424,seafood,São Nicolau,2,0.8
2423,bar,São Nicolau,3,0.8
2421,bar,São Nicolau,1,0.8
2420,bar,São Nicolau,2,0.8
2419,chicken,São Nicolau,3,0.8
2417,chicken,São Nicolau,1,0.8
2416,chicken,São Nicolau,2,0.8
2415,european,São Nicolau,3,0.8
2412,european,São Nicolau,2,0.8
2411,mediterranean,São Nicolau,3,0.8
2408,mediterranean,São Nicolau,2,0.8
2407,cafe,São Nicolau,3,0.8
2404,cafe,São Nicolau,2,0.8
2403,brunch,São Nicolau,3,0.8
2401,brunch,São Nicolau,1,0.8
2398,fado,Sé,4,0.8
2391,pastry,Sé,3,0.8
2388,pastry,Sé,2,0.8
2387,asian,Sé,3,0.8
2383,italian,Sé,3,0.8
2380,italian,Sé,2,0.8
2379,burger,Sé,3,0.8
2371,mexican,Sé,3,0.8
2533,bistro,Campolide,1,0.8
2534,bistro,Campolide,4,0.8
2535,bistro,Campolide,3,0.8
2657,mexican,Santa Justa,1,0.8
2685,fado,Santa Justa,1,0.8
2683,fast_food,Santa Justa,3,0.8
2682,fast_food,Santa Justa,4,0.8
2681,fast_food,Santa Justa,1,0.8
2678,pastry,Santa Justa,4,0.8
2677,pastry,Santa Justa,1,0.8
2674,asian,Santa Justa,4,0.8
2670,italian,Santa Justa,4,0.8
2669,italian,Santa Justa,1,0.8
2666,burger,Santa Justa,4,0.8
2665,burger,Santa Justa,1,0.8
2662,africa_me,Santa Justa,4,0.8
2661,africa_me,Santa Justa,1,0.8
2658,mexican,Santa Justa,4,0.8
2654,pasta,Santa Justa,4,0.8
2536,grill,Campolide,2,0.8
2651,japanese,Santa Justa,3,0.8
2649,japanese,Santa Justa,1,0.8
2648,japanese,Santa Justa,2,0.8
2647,pizza,Santa Justa,3,0.8
2646,pizza,Santa Justa,4,0.8
2645,pizza,Santa Justa,1,0.8
2644,pizza,Santa Justa,2,0.8
2642,portuguese,Santa Justa,4,0.8
2641,portuguese,Santa Justa,1,0.8
2638,indian_nepalese,Santa Justa,4,0.8
2637,indian_nepalese,Santa Justa,1,0.8
2634,grill,Santa Justa,4,0.8
2633,grill,Santa Justa,1,0.8
2629,bistro,Santa Justa,1,0.8
2693,cafe,São Jorge de Arroios,1,0.8
2715,seafood,São Jorge de Arroios,3,0.8
2741,pizza,São Jorge de Arroios,1,0.8
2784,brunch,Santiago,2,0.8
2852,africa_me,Santiago,2,0.8
2850,mexican,Santiago,4,0.8
2848,mexican,Santiago,2,0.8
2846,pasta,Santiago,4,0.8
2842,japanese,Santiago,4,0.8
2840,japanese,Santiago,2,0.8
2839,pizza,Santiago,3,0.8
2838,pizza,Santiago,4,0.8
2836,pizza,Santiago,2,0.8
2833,portuguese,Santiago,1,0.8
2830,indian_nepalese,Santiago,4,0.8
2828,indian_nepalese,Santiago,2,0.8
2826,grill,Santiago,4,0.8
2823,bistro,Santiago,3,0.8
2822,bistro,Santiago,4,0.8
2819,veggie_healthy,Santiago,3,0.8
2818,veggie_healthy,Santiago,4,0.8
2816,veggie_healthy,Santiago,2,0.8
2814,south_america,Santiago,4,0.8
2812,south_america,Santiago,2,0.8
2809,seafood,Santiago,1,0.8
2807,bar,Santiago,3,0.8
2805,bar,Santiago,1,0.8
2804,bar,Santiago,2,0.8
2803,chicken,Santiago,3,0.8
2802,chicken,Santiago,4,0.8
2801,chicken,Santiago,1,0.8
2796,european,Santiago,2,0.8
2786,brunch,Santiago,4,0.8
2626,veggie_healthy,Santa Justa,4,0.8
2625,veggie_healthy,Santa Justa,1,0.8
2624,veggie_healthy,Santa Justa,2,0.8
2568,burger,Campolide,2,0.8
2566,africa_me,Campolide,4,0.8
2565,africa_me,Campolide,1,0.8
2564,africa_me,Campolide,2,0.8
2563,mexican,Campolide,3,0.8
2562,mexican,Campolide,4,0.8
2561,mexican,Campolide,1,0.8
2560,mexican,Campolide,2,0.8
2559,pasta,Campolide,3,0.8
2558,pasta,Campolide,4,0.8
2557,pasta,Campolide,1,0.8
2556,pasta,Campolide,2,0.8
2555,japanese,Campolide,3,0.8
2554,japanese,Campolide,4,0.8
2552,japanese,Campolide,2,0.8
2551,pizza,Campolide,3,0.8
2550,pizza,Campolide,4,0.8
2549,pizza,Campolide,1,0.8
2548,pizza,Campolide,2,0.8
2547,portuguese,Campolide,3,0.8
2546,portuguese,Campolide,4,0.8
2545,portuguese,Campolide,1,0.8
2544,portuguese,Campolide,2,0.8
2543,indian_nepalese,Campolide,3,0.8
2542,indian_nepalese,Campolide,4,0.8
2541,indian_nepalese,Campolide,1,0.8
2540,indian_nepalese,Campolide,2,0.8
2539,grill,Campolide,3,0.8
2538,grill,Campolide,4,0.8
2537,grill,Campolide,1,0.8
2567,africa_me,Campolide,3,0.8
2569,burger,Campolide,1,0.8
2622,south_america,Santa Justa,4,0.8
2570,burger,Campolide,4,0.8
2621,south_america,Santa Justa,1,0.8
2617,seafood,Santa Justa,1,0.8
2613,bar,Santa Justa,1,0.8
2610,chicken,Santa Justa,4,0.8
2605,european,Santa Justa,1,0.8
2604,european,Santa Justa,2,0.8
2602,mediterranean,Santa Justa,4,0.8
2601,mediterranean,Santa Justa,1,0.8
2598,cafe,Santa Justa,4,0.8
2597,cafe,Santa Justa,1,0.8
2593,brunch,Santa Justa,1,0.8
2591,fado,Campolide,3,0.8
2590,fado,Campolide,4,0.8
2589,fado,Campolide,1,0.8
2588,fado,Campolide,2,0.8
2587,fast_food,Campolide,3,0.8
2586,fast_food,Campolide,4,0.8
2584,fast_food,Campolide,2,0.8
2583,pastry,Campolide,3,0.8
2582,pastry,Campolide,4,0.8
2581,pastry,Campolide,1,0.8
2580,pastry,Campolide,2,0.8
2579,asian,Campolide,3,0.8
2577,asian,Campolide,1,0.8
2576,asian,Campolide,2,0.8
2575,italian,Campolide,3,0.8
