,type_of_food,neighborhood,price,outputs
2609,chicken,Santa Justa,1,1.0
2618,seafood,Santa Justa,4,1.0
2135,bar,São Cristóvão,3,1.0
1071,european,Santo Estevão,3,1.0
2134,bar,São Cristóvão,4,1.0
2623,south_america,Santa Justa,3,1.0
2620,south_america,Santa Justa,2,1.0
2619,seafood,Santa Justa,3,1.0
1067,mediterranean,Santo Estevão,3,1.0
2003,asian,São Miguel,3,1.0
2616,seafood,Santa Justa,2,1.0
2615,bar,Santa Justa,3,1.0
2614,bar,Santa Justa,4,1.0
1066,mediterranean,Santo Estevão,4,1.0
2612,bar,Santa Justa,2,1.0
2611,chicken,Santa Justa,3,1.0
2596,cafe,Santa Justa,2,1.0
2595,brunch,Santa Justa,3,1.0
1119,pasta,Santo Estevão,3,1.0
2119,cafe,São Cristóvão,3,1.0
669,fado,Alto do Pina,1,1.0
635,japanese,Alto do Pina,3,1.0
2077,pasta,Mártires,1,1.0
1029,africa_me,Anjos,1,1.0
1028,africa_me,Anjos,2,1.0
665,fast_food,Alto do Pina,1,1.0
2073,japanese,Mártires,1,1.0
661,pastry,Alto do Pina,1,1.0
645,africa_me,Alto do Pina,1,1.0
660,pastry,Alto do Pina,2,1.0
659,asian,Alto do Pina,3,1.0
649,burger,Alto do Pina,1,1.0
657,asian,Alto do Pina,1,1.0
656,asian,Alto do Pina,2,1.0
652,italian,Alto do Pina,2,1.0
629,pizza,Alto do Pina,1,1.0
625,portuguese,Alto do Pina,1,1.0
2093,italian,Mártires,1,1.0
603,seafood,Alto do Pina,3,1.0
595,chicken,Alto do Pina,3,1.0
2592,brunch,Santa Justa,2,1.0
599,bar,Alto do Pina,3,1.0
600,seafood,Alto do Pina,2,1.0
601,seafood,Alto do Pina,1,1.0
2015,fado,São Miguel,3,1.0
607,south_america,Alto do Pina,3,1.0
2029,european,Mártires,1,1.0
609,veggie_healthy,Alto do Pina,1,1.0
611,veggie_healthy,Alto do Pina,3,1.0
2105,fast_food,Mártires,1,1.0
616,grill,Alto do Pina,2,1.0
617,grill,Alto do Pina,1,1.0
619,grill,Alto do Pina,3,1.0
2627,veggie_healthy,Santa Justa,3,1.0
2628,bistro,Santa Justa,2,1.0
2631,bistro,Santa Justa,3,1.0
2632,grill,Santa Justa,2,1.0
2788,cafe,Santiago,2,1.0
1107,portuguese,Santo Estevão,3,1.0
1106,portuguese,Santo Estevão,4,1.0
959,fado,Socorro,3,1.0
1103,indian_nepalese,Santo Estevão,3,1.0
2687,fado,Santa Justa,3,1.0
1102,indian_nepalese,Santo Estevão,4,1.0
2684,fado,Santa Justa,2,1.0
1967,indian_nepalese,São Miguel,3,1.0
2680,fast_food,Santa Justa,2,1.0
2679,pastry,Santa Justa,3,1.0
502,bar,Santa Catarina,4,1.0
1971,portuguese,São Miguel,3,1.0
2163,portuguese,São Cristóvão,3,1.0
2676,pastry,Santa Justa,2,1.0
2790,cafe,Santiago,4,1.0
2791,cafe,Santiago,3,1.0
2794,mediterranean,Santiago,4,1.0
2808,seafood,Santiago,2,1.0
1118,pasta,Santo Estevão,4,1.0
2815,south_america,Santiago,3,1.0
1951,south_america,São Miguel,3,1.0
2811,seafood,Santiago,3,1.0
2810,seafood,Santiago,4,1.0
2477,italian,São Nicolau,1,1.0
1954,veggie_healthy,São Miguel,4,1.0
2795,mediterranean,Santiago,3,1.0
2806,bar,Santiago,4,1.0
723,portuguese,Encarnação,3,1.0
1111,pizza,Santo Estevão,3,1.0
1110,pizza,Santo Estevão,4,1.0
2175,pasta,São Cristóvão,3,1.0
2799,european,Santiago,3,1.0
2675,asian,Santa Justa,3,1.0
2162,portuguese,São Cristóvão,4,1.0
2673,asian,Santa Justa,1,1.0
1078,bar,Santo Estevão,4,1.0
530,portuguese,Santa Catarina,4,1.0
1083,seafood,Santo Estevão,3,1.0
1082,seafood,Santo Estevão,4,1.0
2143,south_america,São Cristóvão,3,1.0
2643,portuguese,Santa Justa,3,1.0
1079,bar,Santo Estevão,3,1.0
2640,portuguese,Santa Justa,2,1.0
2653,pasta,Santa Justa,1,1.0
2639,indian_nepalese,Santa Justa,3,1.0
2139,seafood,São Cristóvão,3,1.0
2636,indian_nepalese,Santa Justa,2,1.0
2635,grill,Santa Justa,3,1.0
2138,seafood,São Cristóvão,4,1.0
1074,chicken,Santo Estevão,4,1.0
2652,pasta,Santa Justa,2,1.0
1087,south_america,Santo Estevão,3,1.0
2672,asian,Santa Justa,2,1.0
2663,africa_me,Santa Justa,3,1.0
2671,italian,Santa Justa,3,1.0
2159,indian_nepalese,São Cristóvão,3,1.0
2668,italian,Santa Justa,2,1.0
2667,burger,Santa Justa,3,1.0
2493,fado,São Nicolau,1,1.0
2664,burger,Santa Justa,2,1.0
1091,veggie_healthy,Santo Estevão,3,1.0
2655,pasta,Santa Justa,3,1.0
1090,veggie_healthy,Santo Estevão,4,1.0
2660,africa_me,Santa Justa,2,1.0
2659,mexican,Santa Justa,3,1.0
2155,grill,São Cristóvão,3,1.0
1983,pasta,São Miguel,3,1.0
2656,mexican,Santa Justa,2,1.0
2413,european,São Nicolau,1,1.0
1216,mexican,Pena,2,1.0
1240,fast_food,Pena,2,1.0
3403,grill,Almargem do Bispo,3,1.0
1656,seafood,Coração de Jesus,2,1.0
835,mexican,Santa Isabel,3,1.0
1659,seafood,Coração de Jesus,3,1.0
2331,seafood,Sé,3,1.0
895,south_america,Socorro,3,1.0
832,mexican,Santa Isabel,2,1.0
831,pasta,Santa Isabel,3,1.0
1668,bistro,Coração de Jesus,2,1.0
1671,bistro,Coração de Jesus,3,1.0
1672,grill,Coração de Jesus,2,1.0
1675,grill,Coração de Jesus,3,1.0
1680,portuguese,Coração de Jesus,2,1.0
828,pasta,Santa Isabel,2,1.0
3514,japanese,São Sebastião da Pedreira,4,1.0
824,japanese,Santa Isabel,2,1.0
1655,bar,Coração de Jesus,3,1.0
836,africa_me,Santa Isabel,2,1.0
2330,seafood,Sé,4,1.0
93,fado,Graça,1,1.0
87,pastry,Graça,3,1.0
88,fast_food,Graça,2,1.0
89,fast_food,Graça,1,1.0
1613,italian,Mercês,1,1.0
91,fast_food,Graça,3,1.0
92,fado,Graça,2,1.0
95,fado,Graça,3,1.0
1647,european,Coração de Jesus,3,1.0
890,seafood,Socorro,4,1.0
891,seafood,Socorro,3,1.0
1636,cafe,Coração de Jesus,2,1.0
